Date,Open,High,Low,Close,Adj Close,Volume
2025-01-03,192.73,194.50,191.35,193.13,193.13,12864800
2025-01-02,191.49,193.20,188.71,190.63,190.63,17545200
2024-12-31,192.45,193.25,189.58,190.44,190.44,14355200
2024-12-30,190.87,193.78,190.36,192.69,192.69,12209500
2024-12-27,196.47,196.80,191.97,194.04,194.04,14693000
2024-12-26,196.74,198.16,195.87,197.10,197.10,7907900
2024-12-24,196.17,197.67,195.20,197.57,197.57,6809800
2024-12-23,194.03,196.49,191.63,195.99,195.99,15235900
2024-12-20,187.01,194.13,186.37,192.96,192.96,45319700
2024-12-19,193.28,194.60,189.52,189.70,189.70,26981200
2024-12-18,196.83,198.69,189.28,190.15,190.15,27638400
2024-12-17,198.53,202.88,196.69,197.12,197.12,24129500
2024-12-16,194.37,200.64,194.11,198.16,198.16,32248600
2024-12-13,192.71,194.34,191.26,191.38,191.38,18883200
2024-12-12,196.30,196.71,193.28,193.63,193.63,25197800
2024-12-11,186.70,196.89,186.26,196.71,196.71,41664500
2024-12-10,184.54,188.03,182.67,186.53,186.53,34317400
2024-12-09,0.20 Dividend
2024-12-09,175.71,178.04,175.40,177.10,177.10,19887800
2024-12-06,173.88,176.84,173.55,176.49,176.29,13319500
2024-12-05,177.32,177.71,174.01,174.31,174.11,16145500
2024-12-04,172.78,176.43,172.75,176.09,175.89,18239800
2024-12-03,173.12,174.32,172.51,173.02,172.82,15721500
2024-12-02,170.32,173.60,170.27,172.98,172.78,16593400
2024-11-29,170.06,170.87,168.75,170.49,170.30,9250700
2024-11-27,170.68,171.14,169.67,170.82,170.63,12433400
2024-11-26,169.49,171.49,169.43,170.62,170.43,14937500
2024-11-25,167.99,170.46,167.40,169.43,169.24,21395700
2024-11-22,167.16,168.26,165.71,166.57,166.38,24497000
2024-11-21,175.46,175.58,165.31,169.24,169.05,38839400
2024-11-20,178.83,179.11,175.33,177.33,177.13,15729800
2024-11-19,175.24,180.17,175.12,179.58,179.38,15392900
2024-11-18,174.96,176.91,174.42,176.80,176.60,18725400
2024-11-15,175.64,175.88,172.74,173.89,173.69,21708900
2024-11-14,179.75,180.45,176.03,177.35,177.15,17925800
2024-11-13,182.15,182.62,180.12,180.49,180.29,13969700
2024-11-12,181.38,184.02,180.99,183.32,183.11,14065800
2024-11-11,180.07,182.09,179.99,181.97,181.76,12503400
2024-11-08,182.00,182.35,179.57,179.86,179.66,15021500
2024-11-07,179.11,182.58,178.89,182.28,182.07,16730400
2024-11-06,175.35,178.64,175.04,178.33,178.13,27061500
2024-11-05,170.83,172.10,170.37,171.41,171.22,12518300
2024-11-04,171.24,171.92,169.49,170.68,170.49,16194000
2024-11-01,171.54,173.82,170.31,172.65,172.45,21752900
2024-10-31,174.72,178.42,172.56,172.69,172.49,32801900
2024-10-30,182.41,183.79,175.74,176.14,175.94,49698300
2024-10-29,169.38,171.86,168.66,171.14,170.95,28916100
2024-10-28,170.59,170.61,165.79,168.34,168.15,20858300
2024-10-25,165.37,167.40,165.23,166.99,166.80,14566400
2024-10-24,164.59,165.05,162.77,164.53,164.34,12764400
2024-10-23,166.43,167.60,163.63,164.48,164.29,12754300
2024-10-22,164.70,167.47,164.67,166.82,166.63,11958600
2024-10-21,164.58,166.22,164.30,165.80,165.61,11384000
2024-10-18,164.87,166.37,164.75,165.05,164.86,13091300
2024-10-17,167.38,167.93,164.37,164.51,164.32,15113400
2024-10-16,166.03,167.28,165.22,166.74,166.55,9968500
2024-10-15,167.14,169.09,166.05,166.90,166.71,14829300
2024-10-14,164.91,167.62,164.78,166.35,166.16,9981800
2024-10-11,163.33,165.27,162.50,164.52,164.33,10946000
2024-10-10,162.11,164.31,161.64,163.18,163.00,12900500
2024-10-09,164.85,166.26,161.12,163.06,162.88,19666400
2024-10-08,165.43,166.10,164.31,165.70,165.51,11723900
2024-10-07,169.14,169.90,164.13,164.39,164.20,14034700
2024-10-04,169.34,169.55,166.96,168.56,168.37,11422100
2024-10-03,165.82,167.91,165.37,167.21,167.02,11004300
2024-10-02,167.76,168.88,166.25,167.31,167.12,12745000
2024-10-01,168.86,170.44,165.90,168.42,168.23,18629500
2024-09-30,164.78,167.36,164.64,167.19,167.00,14070100
2024-09-27,163.91,166.97,163.83,165.29,165.10,13604300
2024-09-26,165.03,165.50,163.50,163.83,163.64,18234500
2024-09-25,162.97,164.22,162.77,162.99,162.81,13607900
2024-09-24,164.25,164.55,162.03,163.64,163.45,18774100
2024-09-23,165.34,166.61,162.95,163.07,162.89,15648400
2024-09-20,164.52,164.75,163.18,164.64,164.45,46362700
2024-09-19,164.82,164.99,162.52,163.24,163.06,17548200
2024-09-18,160.85,161.63,159.66,160.81,160.63,16756500
2024-09-17,160.09,161.59,159.41,160.28,160.10,12064800
2024-09-16,158.33,159.24,157.61,158.99,158.81,14157600
2024-09-13,156.36,159.27,156.11,158.37,158.19,16733900
2024-09-12,154.81,155.61,153.50,155.54,155.36,21024100
2024-09-11,151.09,152.48,148.70,152.15,151.98,18991500
2024-09-10,151.45,152.30,149.54,150.01,149.84,20401800
2024-09-09,0.20 Dividend
2024-09-09,153.63,154.64,148.20,149.54,149.37,28057700
2024-09-06,158.69,159.22,151.93,152.13,151.76,24999100
2024-09-05,157.78,161.01,157.52,158.60,158.21,14139500
2024-09-04,158.07,160.40,157.44,157.81,157.42,17410700
2024-09-03,163.32,163.38,157.85,158.61,158.22,26533100
2024-08-30,164.22,165.28,163.41,165.11,164.71,18498800
2024-08-29,166.06,167.63,161.98,163.40,163.00,17133800
2024-08-28,166.78,167.39,163.28,164.50,164.10,15208700
2024-08-27,167.61,168.24,166.16,166.38,165.97,13718200
2024-08-26,168.15,169.38,166.32,167.93,167.52,11990300
2024-08-23,166.55,167.95,165.66,167.43,167.02,14281600
2024-08-22,169.04,169.42,165.03,165.49,165.09,19123800
2024-08-21,166.99,168.64,166.57,167.63,167.22,15269600
2024-08-20,168.74,170.41,168.66,168.96,168.55,12622500
2024-08-19,167.00,168.47,166.09,168.40,167.99,13100800
2024-08-16,163.41,166.95,163.08,164.74,164.34,16853100
2024-08-15,162.21,163.52,161.49,163.17,162.77,18392500
2024-08-14,164.21,164.96,159.53,162.03,161.63,22515900
2024-08-13,165.18,166.54,164.77,165.93,165.52,12717600
2024-08-12,165.99,166.70,163.55,163.95,163.55,12435000
2024-08-09,161.65,165.52,160.93,165.39,164.99,13549200
2024-08-08,162.34,165.50,162.03,163.84,163.44,15733600
2024-08-07,163.24,164.79,160.24,160.75,160.36,19334200
2024-08-06,160.95,162.35,158.13,160.54,160.15,36146500
2024-08-05,157.37,165.94,156.60,160.64,160.25,34907800
2024-08-02,168.19,170.21,166.39,168.40,167.99,18907800
2024-08-01,171.98,175.68,170.51,172.45,172.03,17177800
2024-07-31,174.92,175.91,171.72,173.15,172.73,15650200
2024-07-30,171.83,172.95,170.12,171.86,171.44,13681400
2024-07-29,170.50,172.16,169.72,171.13,170.71,13768900
2024-07-26,168.77,169.84,165.87,168.68,168.27,25150100
2024-07-25,174.25,175.20,169.05,169.16,168.75,28967900
2024-07-24,175.39,177.95,173.57,174.37,173.94,31250700
2024-07-23,183.84,185.22,183.33,183.60,183.15,23772600
2024-07-22,182.35,184.30,181.90,183.35,182.90,16303900
2024-07-19,180.37,181.97,178.86,179.39,178.95,14485900
2024-07-18,183.54,184.05,178.21,179.22,178.78,17877200
2024-07-17,184.68,185.23,181.62,182.62,182.17,17376600
2024-07-16,188.96,190.34,185.12,185.50,185.05,12760100
2024-07-15,186.49,189.90,186.49,188.19,187.73,12186000
2024-07-12,186.92,188.69,186.14,186.78,186.32,14449100
2024-07-11,191.34,192.41,186.82,187.30,186.84,16452000
2024-07-10,190.75,193.31,190.62,192.66,192.19,12052900
2024-07-09,191.75,192.86,190.23,190.44,189.97,10198500
2024-07-08,191.37,191.68,189.32,190.48,190.01,12097600
2024-07-05,187.32,192.26,187.32,191.96,191.49,14303400
2024-07-03,186.30,187.62,185.38,187.39,186.93,7409100
2024-07-02,183.47,186.95,183.06,186.61,186.15,12555500
2024-07-01,184.48,185.34,182.73,184.49,184.04,11815900
2024-06-28,185.72,186.58,183.32,183.42,182.97,23032400
2024-06-27,185.65,187.50,185.45,186.86,186.40,13025700
2024-06-26,184.20,185.93,183.99,185.37,184.92,13375700
2024-06-25,181.15,185.75,181.10,185.58,185.13,18917700
2024-06-24,181.28,182.08,180.23,180.79,180.35,18198300
2024-06-21,178.49,182.51,178.06,180.26,179.82,59728000
2024-06-20,176.71,178.74,176.46,177.71,177.28,16753200
2024-06-18,178.79,178.91,175.62,176.45,176.02,15640300
2024-06-17,176.98,179.92,176.49,178.78,178.34,15272900
2024-06-14,175.85,178.73,175.85,178.37,177.93,12361600
2024-06-13,177.84,178.51,176.66,176.74,176.31,15956900
2024-06-12,179.75,182.08,177.78,179.56,179.12,18600400
2024-06-11,177.72,178.39,175.44,178.19,177.75,14402400
2024-06-10,0.20 Dividend
2024-06-10,176.45,178.47,174.38,176.63,176.20,17122200
2024-06-07,178.46,179.42,175.79,175.95,175.32,14716300
2024-06-06,177.43,178.71,177.21,178.35,177.71,14255800
2024-06-05,176.54,177.97,175.29,177.07,176.44,15233900
2024-06-04,174.45,175.19,173.22,175.13,174.50,14066600
2024-06-03,173.88,175.86,172.45,174.42,173.80,20742800
2024-05-31,173.40,174.42,170.97,173.96,173.34,28085200
2024-05-30,176.69,176.69,173.23,173.56,172.94,18844000
2024-05-29,176.81,178.23,176.26,177.40,176.76,15023800
2024-05-28,175.74,178.51,175.68,178.02,177.38,15655300
2024-05-24,176.52,177.30,175.20,176.33,175.70,11400600
2024-05-23,178.78,179.91,174.54,175.06,174.43,14928400
2024-05-22,178.40,178.85,176.78,178.00,177.36,16189400
2024-05-21,178.40,179.82,177.31,179.54,178.90,14706000
2024-05-20,177.31,179.95,177.23,178.46,177.82,17495100
2024-05-17,175.55,177.49,174.98,177.29,176.66,16546400
2024-05-16,174.60,176.34,174.05,175.43,174.80,17247300
2024-05-15,172.30,174.05,172.03,173.88,173.26,20958200
2024-05-14,171.59,172.78,170.42,171.93,171.31,18729500
2024-05-13,165.85,170.95,165.76,170.90,170.29,19648600
2024-05-10,169.69,171.34,167.91,170.29,169.68,18740500
2024-05-09,171.15,172.44,169.93,171.58,170.97,11937700
2024-05-08,170.75,171.91,170.52,171.16,170.55,14569900
2024-05-07,170.12,173.47,170.00,172.98,172.36,21102400
2024-05-06,169.22,169.90,167.89,169.83,169.22,15147900
2024-05-03,169.54,169.85,164.98,168.99,168.38,22767100
2024-05-02,166.67,168.53,165.69,168.46,167.86,17041100
2024-05-01,166.18,168.81,164.90,165.57,164.98,25223200
2024-04-30,167.38,169.87,164.50,164.64,164.05,29420800
2024-04-29,170.77,171.38,167.06,167.90,167.30,35914600
2024-04-26,175.99,176.42,171.40,173.69,173.07,56500800
2024-04-25,153.36,158.28,152.77,157.95,157.38,36197800
2024-04-24,159.09,161.39,158.82,161.10,160.52,19485700
2024-04-23,158.59,160.48,157.96,159.92,159.35,16115400
2024-04-22,156.01,159.18,155.66,157.95,157.38,17243900
2024-04-19,157.75,157.99,153.91,155.72,155.16,20063900
2024-04-18,156.93,158.49,156.21,157.46,156.90,14016100
2024-04-17,157.19,158.68,156.13,156.88,156.32,16237800
2024-04-16,155.64,157.23,155.05,156.00,155.44,15413200
2024-04-15,160.28,160.83,156.15,156.33,155.77,21140900
2024-04-12,159.40,161.70,158.60,159.19,158.62,16968200
2024-04-11,158.34,161.12,157.93,160.79,160.21,17841700
2024-04-10,157.88,158.16,156.20,157.66,157.10,16339200
2024-04-09,157.35,159.89,156.64,158.14,157.57,21538100
2024-04-08,154.01,156.65,153.99,156.14,155.58,16641500
2024-04-05,151.68,154.84,151.08,153.94,153.39,16289800
2024-04-04,155.08,156.18,151.88,151.94,151.40,24184800
2024-04-03,154.92,156.55,154.13,156.37,155.81,17266200
2024-04-02,154.75,155.99,153.46,155.87,155.31,17598100
2024-04-01,151.83,157.00,151.65,156.50,155.94,24469800
2024-03-28,152.00,152.67,151.33,152.26,151.71,21105600
2024-03-27,152.15,152.69,150.13,151.94,151.40,16622000
2024-03-26,151.24,153.20,151.03,151.70,151.16,19312700
2024-03-25,150.95,151.46,148.80,151.15,150.61,15114700
2024-03-22,150.24,152.56,150.09,151.77,151.23,19226300
2024-03-21,150.32,151.30,148.01,148.74,148.21,19843900
2024-03-20,148.79,149.76,147.66,149.68,149.14,17730000
2024-03-19,148.98,149.62,147.01,147.92,147.39,17748400
2024-03-18,149.37,152.93,148.14,148.48,147.95,47676700
2024-03-15,143.41,144.34,141.13,142.17,141.66,41025900
2024-03-14,142.30,144.73,141.49,144.34,143.82,36117900
2024-03-13,140.06,142.19,140.01,140.77,140.27,19637000
2024-03-12,138.25,140.28,138.21,139.62,139.12,19019700
2024-03-11,137.07,139.98,137.07,138.94,138.44,22536400
2024-03-08,135.04,138.99,134.80,136.29,135.80,26472400
